扰动条件,模型,AUC 下降
情绪遮蔽 20%,原始情绪知识追踪模型,0.038239 ± 0.001755
情绪遮蔽 40%,原始情绪知识追踪模型,0.076146 ± 0.004606
情绪遮蔽 60%,原始情绪知识追踪模型,0.110970 ± 0.007962
情绪错配 20%,原始情绪知识追踪模型,0.046853 ± 0.000719
情绪错配 40%,原始情绪知识追踪模型,0.091221 ± 0.000838
情绪错配 60%,原始情绪知识追踪模型,0.135469 ± 0.001497
情绪加噪 0.05,原始情绪知识追踪模型,0.157296 ± 0.008645
情绪加噪 0.10,原始情绪知识追踪模型,0.160033 ± 0.009369
情绪加噪 0.20,原始情绪知识追踪模型,0.162636 ± 0.009772
情绪遮蔽 20%,组合鲁棒训练模型（增强方案）,0.007675 ± 0.000215
情绪遮蔽 40%,组合鲁棒训练模型（增强方案）,0.018045 ± 0.000489
情绪遮蔽 60%,组合鲁棒训练模型（增强方案）,0.030863 ± 0.000865
情绪错配 20%,组合鲁棒训练模型（增强方案）,0.018366 ± 0.000353
情绪错配 40%,组合鲁棒训练模型（增强方案）,0.037952 ± 0.000579
情绪错配 60%,组合鲁棒训练模型（增强方案）,0.060253 ± 0.000787
情绪加噪 0.05,组合鲁棒训练模型（增强方案）,0.037073 ± 0.000743
情绪加噪 0.10,组合鲁棒训练模型（增强方案）,0.039424 ± 0.000768
情绪加噪 0.20,组合鲁棒训练模型（增强方案）,0.043861 ± 0.000868
情绪遮蔽 20%,情绪稳定训练模型（建议主方法）,0.013557 ± 0.000290
情绪遮蔽 40%,情绪稳定训练模型（建议主方法）,0.026447 ± 0.000294
情绪遮蔽 60%,情绪稳定训练模型（建议主方法）,0.037270 ± 0.000347
情绪错配 20%,情绪稳定训练模型（建议主方法）,0.027257 ± 0.001241
情绪错配 40%,情绪稳定训练模型（建议主方法）,0.053354 ± 0.002058
情绪错配 60%,情绪稳定训练模型（建议主方法）,0.079296 ± 0.002754
情绪加噪 0.05,情绪稳定训练模型（建议主方法）,0.046133 ± 0.001214
情绪加噪 0.10,情绪稳定训练模型（建议主方法）,0.050152 ± 0.001073
情绪加噪 0.20,情绪稳定训练模型（建议主方法）,0.057526 ± 0.000705
